75001, 61.64 %
75002, 82.10 %
75006, 58.60 %
75007, 36.71 %
75009, 336.02 %
75010, 125.87 %
75013, 81.90 %
75019, 42.37 %
75020, 83.21 %
75021, 100.00 %
75022, 71.12 %
75023, 42.19 %
75024, 51.76 %
75025, 45.34 %
75028, 73.91 %
75032, 63.96 %
75034, 84.03 %
75035, 262.12 %
75038, 53.17 %
75039, 97.26 %
75040, 120.34 %
75041, 92.31 %
75042, 22.45 %
75043, 37.07 %
75044, 44.40 %
75048, 174.65 %
75050, 44.65 %
75051, 122.22 %
75052, 73.91 %
75054, 165.40 %
75056, 114.99 %
75057, 110.53 %
75058, 155.32 %
75060, 108.96 %
75061, 86.92 %
75062, 60.24 %
75063, 85.12 %
75065, 94.03 %
75067, 96.55 %
75068, 251.97 %
75069, 67.94 %
75070, 59.29 %
75071, 172.29 %
75074, 122.50 %
75075, 86.32 %
75076, 84.78 %
75077, 47.21 %
75078, 232.95 %
75080, 79.34 %
75081, 62.46 %
75082, 40.77 %
75087, 124.58 %
75088, 55.67 %
75089, 129.17 %
75090, 66.67 %
75092, 51.75 %
75093, 23.78 %
75094, 73.26 %
75098, 166.34 %
75102, NaN
75103, 110.53 %
75104, 57.52 %
75105, NaN
75109, 42.86 %
75110, 25.93 %
75114, 72.41 %
75115, 57.19 %
75116, -4.76 %
75117, Infinity
75119, 61.76 %
75124, Infinity
75125, Infinity
75126, 180.00 %
75127, NaN
75134, NaN
75135, 175.86 %
75137, 26.67 %
75140, 30.43 %
75141, NaN
75142, 100.00 %
75143, 90.48 %
75144, Infinity
75146, 70.73 %
75147, 93.55 %
75148, 133.33 %
75149, 56.86 %
75150, 37.25 %
75152, 140.00 %
75153, NaN
75154, 100.84 %
75155, NaN
75156, 70.45 %
75158, 108.33 %
75159, 95.12 %
75160, 76.83 %
75161, 100.00 %
75163, 90.48 %
75165, 105.78 %
75166, 163.16 %
75167, 132.32 %
75169, 150.00 %
75172, NaN
75173, 280.95 %
75180, Infinity
75181, 48.51 %
75182, 77.47 %
75189, 182.76 %
75201, 67.26 %
75202, 64.95 %
75203, 30.43 %
75204, 83.41 %
75205, 33.40 %
75206, 115.51 %
75207, 150.00 %
75208, 123.59 %
75209, 50.20 %
75210, NaN
75211, 172.73 %
75212, Infinity
75214, 66.89 %
75215, 106.90 %
75216, NaN
75217, Infinity
75218, 85.55 %
75219, 63.58 %
75220, 63.39 %
75223, 100.00 %
75224, 254.84 %
75225, 24.47 %
75226, 61.29 %
75227, 108.33 %
75228, 112.50 %
75229, 54.42 %
75230, 32.04 %
75231, 54.46 %
75232, 28.21 %
75233, Infinity
75234, 70.21 %
75235, 91.18 %
75236, 200.00 %
75237, NaN
75238, 99.74 %
75240, 37.70 %
75241, NaN
75243, 55.59 %
75244, 68.97 %
75246, Infinity
75247, Infinity
75248, 56.91 %
75249, 100.00 %
75251, 37.93 %
75252, 52.74 %
75253, NaN
75254, 37.16 %
75287, 32.76 %
75401, 51.52 %
75402, 76.10 %
75407, 133.33 %
75409, 162.30 %
75410, 36.36 %
75411, NaN
75412, NaN
75414, Infinity
75416, NaN
75417, NaN
75418, 144.44 %
75420, NaN
75421, NaN
75422, Infinity
75423, Infinity
75424, 250.00 %
75426, NaN
75428, -3.23 %
75431, NaN
75432, NaN
75433, NaN
75435, NaN
75436, NaN
75437, NaN
75438, NaN
75439, NaN
75440, 104.55 %
75442, 120.34 %
75446, Infinity
75447, NaN
75448, NaN
75449, NaN
75450, NaN
75451, NaN
75452, 160.87 %
75453, Infinity
75454, 150.00 %
75455, 37.40 %
75457, 55.56 %
75459, 127.27 %
75460, 18.42 %
75462, 38.36 %
75468, NaN
75469, NaN
75471, NaN
75472, NaN
75473, 47.06 %
75474, 156.41 %
75476, NaN
75477, NaN
75478, NaN
75479, NaN
75480, 36.36 %
75481, NaN
75482, 117.39 %
75486, NaN
75487, NaN
75488, NaN
75490, Infinity
75491, 133.33 %
75492, NaN
75494, 70.21 %
75495, 121.15 %
75496, NaN
75497, 60.00 %
75501, 62.16 %
75503, 26.37 %
75550, NaN
75551, 37.25 %
75554, NaN
75555, NaN
75556, NaN
75558, NaN
75559, 25.00 %
75560, NaN
75561, NaN
75563, Infinity
75566, NaN
75567, Infinity
75568, NaN
75569, Infinity
75570, 61.29 %
75571, NaN
75572, NaN
75574, NaN
75601, 9.09 %
75602, 31.58 %
75603, 46.34 %
75604, 5.44 %
75605, 32.74 %
75630, NaN
75631, Infinity
75633, 7.38 %
75638, Infinity
75639, NaN
75640, 15.38 %
75643, Infinity
75644, 34.62 %
75645, 50.94 %
75647, 11.11 %
75650, 42.86 %
75651, NaN
75652, 53.85 %
75654, 2.56 %
75656, Infinity
